Site,Treatment,Colony,Date,Mass,Brood,Framesbees,Updatedbrood
Uthe,Soybean,2,7/22/16,26.4843761,230,20,391920
Uthe,Soybean,3,7/22/16,27.4840839,248.5,37,423444
Uthe,Soybean,4,7/22/16,10.7119457,335,20,570840
Ontario,Soybean,5,7/22/16,11.05,169.5,6,288828
Ontario,Soybean,6,7/22/16,16.7,34,24,57936
Ontario,Soybean,7,7/22/16,9.9,177,16,301608
Ontario,Soybean,8,7/22/16,11.75,90,22.5,153360
Tracy 3,Soybean,9,7/22/16,4.15,12,7,20448
Tracy 3,Soybean,10,7/22/16,3.3,60.5,4,103092
Tracy 3,Soybean,11,7/22/16,9.7,229,16,390216
Tracy 3,Soybean,12,7/22/16,4.4,144,5.5,245376
Haglund 1,Soybean,13,7/22/16,18.9,0,1,0
Haglund 1,Soybean,14,7/22/16,17.65,280,21.5,477120
Haglund 1,Soybean,15,7/22/16,12.35,151,19.5,257304
Haglund 1,Soybean,16,7/22/16,29.45,307,31,523128
Tracy 1,Soybean,17,7/22/16,20.7,316.5,17,539316
Tracy 1,Soybean,18,7/22/16,12.35,50,16,85200
Tracy 1,Soybean,19,7/22/16,19.15,45,17,76680
Tracy 1,Soybean,20,7/22/16,12,0,16,0
Ivis,Soybean,21,7/22/16,14.64922655,222,10,378288
Ivis,Soybean,22,7/22/16,33.7418529,258,23,439632
Ivis,Soybean,23,7/22/16,13.8763149,260,17,443040
Ivis,Soybean,24,7/22/16,36.23661055,134.5,33,229188
East Dairy,Soybean,25,7/22/16,29.7520454,191,29.5,325464
East Dairy,Soybean,26,7/22/16,21.45311105,183,24,311832
East Dairy,Soybean,27,7/22/16,19.09262635,198.5,27,338244
East Dairy,Soybean,28,7/22/16,16.1442764,206,15,351024
Curtiss,Soybean,29,7/22/16,12.95,162.5,18,276900
Curtiss,Soybean,30,7/22/16,44.4,259,30,441336
Curtiss,Soybean,31,7/22/16,32.65,237,29,403848
